[18:03:12] Raw: 'ШЫ' | Clean: 'ШЫ' | Conf: 0,0%
[18:06:44] Raw: 'Ш' | Clean: 'Ш' | Conf: 0,0%
[18:08:55] Raw: 'шЫ' | Clean: 'шЫ' | Conf: 0,0%
[18:10:04] Raw: 'НЫ' | Clean: 'НЫ' | Conf: 0,1%
[18:10:29] Raw: 'ШЕ' | Clean: 'ШЕ' | Conf: 0,0%
[18:12:22] Raw: 'ШЫ' | Clean: 'ШЫ' | Conf: 0,0%
[18:16:00] Raw: 'НЫ' | Clean: 'НЫ' | Conf: 0,1%
[18:16:54] Raw: '' | Clean: '' | Conf: 0,0%
[18:18:58] Raw: '' | Clean: '' | Conf: 0,0%
[18:20:03] Raw: '.' | Clean: '.' | Conf: 0,0%
[18:20:27] Raw: '' | Clean: '' | Conf: 0,0%
[18:20:43] Raw: ',' | Clean: ',' | Conf: 0,0%
[18:21:00] Raw: '' | Clean: '' | Conf: 0,0%
[18:21:24] Raw: '' | Clean: '' | Conf: 0,0%
[18:21:30] Raw: '' | Clean: '' | Conf: 0,0%
[18:22:00] Raw: '' | Clean: '' | Conf: 0,0%
[18:22:19] Raw: '' | Clean: '' | Conf: 0,0%
[18:22:44] Raw: '' | Clean: '' | Conf: 0,0%
[18:23:00] Raw: '' | Clean: '' | Conf: 0,0%
[18:23:13] Raw: '.' | Clean: '.' | Conf: 0,0%
[18:23:38] Raw: '' | Clean: '' | Conf: 0,0%
[18:23:57] Raw: ',' | Clean: ',' | Conf: 0,0%
[18:24:20] Raw: ',' | Clean: ',' | Conf: 0,0%
[18:24:44] Raw: ',' | Clean: ',' | Conf: 0,0%
[18:25:08] Raw: ',' | Clean: ',' | Conf: 0,0%
[18:25:54] Raw: ',' | Clean: ',' | Conf: 0,0%
[18:26:21] Raw: '' | Clean: '' | Conf: 0,0%
[18:26:42] Raw: '1' | Clean: '1' | Conf: 0,0%
[18:28:01] Raw: '.,' | Clean: '.,' | Conf: 0,0%
[18:28:36] Raw: '' | Clean: '' | Conf: 0,0%
[18:28:50] Raw: ',' | Clean: ',' | Conf: 0,0%
[18:29:14] Raw: ',' | Clean: ',' | Conf: 0,0%
[18:30:44] Raw: '7.' | Clean: '7.' | Conf: 0,0%
[18:32:20] Raw: '7.' | Clean: '7.' | Conf: 0,0%
[18:32:51] Raw: '7.' | Clean: '7.' | Conf: 0,0%
[18:35:11] Raw: '7.' | Clean: '7.' | Conf: 0,0%
[18:37:12] Raw: '.' | Clean: '.' | Conf: 0,0%
[18:37:48] Raw: '7.' | Clean: '7.' | Conf: 0,0%
[18:39:47] Raw: '7,' | Clean: '7,' | Conf: 0,0%
[18:40:21] Raw: '' | Clean: '' | Conf: 0,0%
[18:41:34] Raw: 'вот так а ты как,' | Clean: 'вот так а ты как,' | Conf: 60,0%
[18:42:08] Raw: '! ик- 5- Шан. 9 - 4' | Clean: '! ик- 5- Шан. 9 - 4' | Conf: 18,0%
[18:42:11] Raw: 'вот так а ты как' | Clean: 'вот так а ты как' | Conf: 88,0%
[18:42:18] Raw: 'вот так а ты кака' | Clean: 'вот так а ты кака' | Conf: 92,0%
[18:42:30] Raw: 'ИДИ НАХУЙ' | Clean: 'ИДИ НАХУЙ' | Conf: 92,0%
[18:42:35] Raw: 'ИДИ НАХУЙ 213' | Clean: 'ИДИ НАХУЙ 213' | Conf: 81,0%
[18:42:40] Raw: '4' | Clean: '4' | Conf: 95,0%
[18:42:46] Raw: '4ч4ч4ч4ч' | Clean: '4ч4ч4ч4ч' | Conf: 66,0%
[18:43:02] Raw: 'ЕВЕВЕВЕВЕВЕ' | Clean: 'ЕВЕВЕВЕВЕВЕ' | Conf: 90,0%
